ZIP_CODE,LATITUDE,LONGTITUDE,PONAME,COLOR
11140,37.5674173,126.984642,MaPo,FC00F0
11140,37.5678826,126.9811936,MaPo,FC00F0
11230,37.5883148,127.0460899,GangNam,F7071C
11230,37.5994013,127.0624708,GangNam,F7071C
11260,37.6102524,127.1011551,JungRang,16DEF2
11110,37.5703825,126.9923929,NoWon,C5F216
11110,37.5770464,126.9819269,NoWon,C5F216
11215,37.5532424,127.0734923,KwangJin,F28116
11170,37.5428503,126.9733899,GuRp,16EDF2
11140,37.5674664,126.9894371,MaPo,FC00F0
11140,37.5642292,127.0152228,MaPo,FC00F0
11470,37.5163358,126.8530247,YangCheon,6323DB
11140,37.5675948,126.9831121,MaPo,FC00F0
11650,37.4449934,127.049594,SeoCho,16F22D
11410,37.5622877,126.9621679,SeoDaeMun,194C67
11110,37.575276,126.971827,NoWon,C5F216
11110,37.584442,126.9676997,NoWon,C5F216
11650,37.4660631,127.0178628,SeoCho,16F22D
11170,37.532933,126.9506456,GuRp,16EDF2
11140,37.5600001,126.9873836,MaPo,FC00F0
11230,37.5802851,127.0556709,GangNam,F7071C
11230,37.5881848,127.0643272,GangNam,F7071C
11320,37.6463131,127.04338,DoBong,F2B416
11140,37.556819,127.0154305,MaPo,FC00F0
11200,37.5643661,127.0285933,DongJack,34EA0C
11305,37.6219876,127.0235677,GangBuk,F27616
11140,37.560059,126.9840941,MaPo,FC00F0
11110,37.569505,126.9803078,NoWon,C5F216
11140,37.5674834,126.9870578,MaPo,FC00F0
11140,37.55526,127.0003341,MaPo,FC00F0
11140,37.5606513,126.989397,MaPo,FC00F0
11140,37.5680651,126.9788674,MaPo,FC00F0
11215,37.5436014,127.0931657,KwangJin,F28116
11350,37.6304774,127.0884816,NoWon,C5F216
11110,37.5720312,126.9906468,NoWon,C5F216
11110,37.575195,126.9799523,NoWon,C5F216
11110,37.5752845,126.9739369,NoWon,C5F216
11110,37.5706982,126.980334,NoWon,C5F216
11110,37.5727248,126.9746762,NoWon,C5F216
11110,37.5797855,126.981012,NoWon,C5F216
11410,37.5613992,126.9453104,SeoDaeMun,194C67
11650,37.4631455,127.0527369,SeoCho,16F22D
11170,37.5433004,126.9666026,GuRp,16EDF2
11260,37.600464,127.0784467,JungRang,16DEF2
11410,37.5701581,126.9583199,SeoDaeMun,194C67
11260,37.6125348,127.0803388,JungRang,16DEF2
11260,37.6003767,127.1056492,JungRang,16DEF2
11410,37.5674955,126.9620152,SeoDaeMun,194C67
11170,37.5343201,126.9577323,GuRp,16EDF2
11650,37.5045831,127.0021767,SeoCho,16F22D
11110,37.5772363,126.9805779,NoWon,C5F216
11410,37.5635697,126.9673972,SeoDaeMun,194C67
11410,37.5636974,126.9549002,SeoDaeMun,194C67
11410,37.5873266,126.94728,SeoDaeMun,194C67
11170,37.543576,126.9607221,GuRp,16EDF2
11650,37.4583407,127.0770851,SeoCho,16F22D
11260,37.5819253,127.0902095,JungRang,16DEF2
11260,37.6001601,127.0832212,JungRang,16DEF2
11110,37.5738606,126.9805797,NoWon,C5F216
11170,37.538784,126.9562609,GuRp,16EDF2
11110,37.5827038,126.9718981,NoWon,C5F216
11110,37.5725522,126.9918438,NoWon,C5F216
11110,37.5710316,126.9692509,NoWon,C5F216
11650,37.4790075,126.9959104,SeoCho,16F22D
11650,37.468455,127.0362466,SeoCho,16F22D
11320,37.6852416,127.0298657,DoBong,F2B416
11140,37.5659055,126.9805717,MaPo,FC00F0
11170,37.5363505,126.9634639,GuRp,16EDF2
11170,37.5357089,126.9515061,GuRp,16EDF2
11410,37.5741171,126.9547307,SeoDaeMun,194C67
11110,37.58161,127.0051704,NoWon,C5F216
11170,37.5399032,126.9675517,GuRp,16EDF2
11410,37.5678141,126.9597564,SeoDaeMun,194C67
11110,37.5741579,126.9847959,NoWon,C5F216
11110,37.5737344,126.9830947,NoWon,C5F216
11140,37.5638636,126.9820397,MaPo,FC00F0
11110,37.5774765,126.9838446,NoWon,C5F216
11140,37.5606911,126.9755026,MaPo,FC00F0
11140,37.5675677,126.9773826,MaPo,FC00F0
11650,37.4451504,127.0596521,SeoCho,16F22D
11410,37.5649689,126.9639845,SeoDaeMun,194C67
11200,37.5505366,127.0348586,DongJack,34EA0C
11650,37.5153035,127.0093893,SeoCho,16F22D
11110,37.5828064,126.9848647,NoWon,C5F216
11170,37.5312807,126.9686035,GuRp,16EDF2
11170,37.538862,126.9922782,GuRp,16EDF2
11200,37.5541037,127.0621614,DongJack,34EA0C
11170,37.5280446,126.9632299,GuRp,16EDF2
11170,37.5188354,126.9651352,GuRp,16EDF2
11170,37.5358397,126.9549627,GuRp,16EDF2
11140,37.5679302,126.9847933,MaPo,FC00F0
11140,37.5616684,126.9794385,MaPo,FC00F0
11110,37.5715373,126.9802938,NoWon,C5F216
11110,37.5806863,126.9826101,NoWon,C5F216
11110,37.5846181,126.9991752,NoWon,C5F216
11110,37.5779984,126.9727225,NoWon,C5F216
11110,37.5726289,126.9980205,NoWon,C5F216
11110,37.5889535,126.9974079,NoWon,C5F216
11140,37.5624854,126.9782509,MaPo,FC00F0
11110,37.574232,126.9897103,NoWon,C5F216
11140,37.5585169,126.9827612,MaPo,FC00F0
11200,37.5591737,127.0352497,DongJack,34EA0C
11140,37.5676122,126.9961709,MaPo,FC00F0
11200,37.5530419,127.0213783,DongJack,34EA0C
11110,37.5829045,126.9868772,NoWon,C5F216
11110,37.5692358,126.9942544,NoWon,C5F216
11140,37.5623108,126.995975,MaPo,FC00F0
11110,37.5695052,126.9984621,NoWon,C5F216
11140,37.5642498,126.9878913,MaPo,FC00F0
11140,37.5657158,126.986263,MaPo,FC00F0
11110,37.5809142,126.9927443,NoWon,C5F216
11305,37.6632405,126.9992181,GangBuk,F27616
11140,37.5567475,126.9713413,MaPo,FC00F0
11110,37.572373,126.9930161,NoWon,C5F216
11110,37.5798178,126.9700651,NoWon,C5F216
11110,37.580573,126.9723675,NoWon,C5F216
11140,37.5625808,126.9995908,MaPo,FC00F0
11170,37.5215716,127.0002868,GuRp,16EDF2
11140,37.564601,126.9923477,MaPo,FC00F0
11440,37.536882,126.943622,MaPo,FC00F0
11110,37.5713261,126.9832335,NoWon,C5F216
11470,37.5367323,126.8764165,YangCheon,6323DB
11110,37.5707645,126.9863062,NoWon,C5F216
11110,37.5703732,126.9740722,NoWon,C5F216
11200,37.5407489,127.0571063,DongJack,34EA0C
11320,37.6646494,127.0334847,DoBong,F2B416
11350,37.6295557,127.0562532,NoWon,C5F216
11140,37.5614488,127.0005452,MaPo,FC00F0
11140,37.566416,127.0095181,MaPo,FC00F0
11140,37.5677264,126.992771,MaPo,FC00F0
11140,37.5606655,126.9695132,MaPo,FC00F0
11140,37.5558883,126.9669832,MaPo,FC00F0
11140,37.566393,126.9977069,MaPo,FC00F0
11140,37.5661453,126.9733062,MaPo,FC00F0
11110,37.5690609,126.9904495,NoWon,C5F216
11200,37.5684665,127.0255499,DongJack,34EA0C
11170,37.5371288,126.9690034,GuRp,16EDF2
11170,37.535453,126.9646994,GuRp,16EDF2
11170,37.5321655,126.9762897,GuRp,16EDF2
11110,37.5873096,126.9930707,NoWon,C5F216
11140,37.5668791,126.9680884,MaPo,FC00F0
11140,37.5589096,126.9729614,MaPo,FC00F0
11110,37.5890286,126.9685157,NoWon,C5F216
11140,37.5638976,126.9799891,MaPo,FC00F0
11170,37.5377219,126.9597098,GuRp,16EDF2
11650,37.4885178,127.0171248,SeoCho,16F22D
11410,37.5613616,126.9662486,SeoDaeMun,194C67
11170,37.5358426,126.9730991,GuRp,16EDF2
11170,37.5235803,126.995177,GuRp,16EDF2
11200,37.5431193,127.0416554,DongJack,34EA0C
11170,37.5168611,126.9842128,GuRp,16EDF2
11170,37.5268849,127.0017003,GuRp,16EDF2
11140,37.5577913,126.9949767,MaPo,FC00F0
11140,37.5577553,126.9973738,MaPo,FC00F0
11140,37.5551793,126.9897761,MaPo,FC00F0
11200,37.5670762,127.0407445,DongJack,34EA0C
11110,37.5706899,126.9979792,NoWon,C5F216
11305,37.6292269,127.036379,GangBuk,F27616
11140,37.5617555,126.9877459,MaPo,FC00F0
11140,37.5644525,126.9844713,MaPo,FC00F0
